contract_id,field,present,gold_answer,gold_spans
accurayinc,cap_on_liability,yes,,"[""This will be Accuray's sole and exclusive obligation  and such Customer's sole and exclusive remedy in relation to defective Products and parts."", ""WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW,  SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND  EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT  SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR  TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA,  LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED  BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES."", ""This is Accuray's  sole and exclusive obligation and Customer's and Distributor's sole and exclusive remedy in relation to defective software."", ""This is Accuray's sole and exclusive obligation and Customer's and Distributor's sole  and exclusive remedy in relation to any Safety Update required to be provided by applicable law in the Customer's  jurisdiction."", ""Without affecting Section 10 or the respective obligations of the parties under the Confidentiality Agreement and except  for any liability (i) relating to any breach associated with the unauthorized use of Intellectual Property, (ii) arising from the  intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or  regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this Agreement (or any  Purchase Order or other agreement entered into in connection with this Agreement) (a \""Claim\"") shall be limited to the aggregate  amount of the purchase prices paid by Distributor to Accuray for Products pursuant to this Agreement (or any Purchase Order or  other Agreement entered into in connection with this Agreement) during the twelve calendar months preceding the date of the  notification to the other party of such Claim less any amounts paid or payable in respect of any other Claim of which the other party  was notified during such twelve month period."", ""WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW, THE FOREGOING  PROVISIONS OF THIS SECTION SET FORTH ACCURAY'S SOLE AND EXCLUSIVE LIABILITY AND DISTRIBUTOR'S SOLE  AND EXCLUSIVE REMEDY FOR ANY CLAIMS OF INFRINGEMENT OR MISAPPROPRIATION OF INTELLECTUAL PROPERTY  RIGHTS OR PROPRIETARY RIGHTS OF ANY KIND."", ""If a Customer notifies Accuray in writing during the Warranty Period of a defect in a Product that  causes the Product to fail to conform to the foregoing warranty, Accuray shall at its option either repair or replace the non- conforming Product or, if in Accuray's opinion such repair or replacement is not commercially reasonable, Accuray shall  refund a pro-rated portion of the price paid by the Customer for such Product calculated based on a straight-line  depreciation over a 5-year period beginning on the date of delivery.""]"
accurayinc,uncapped_liability,yes,,"[""WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW,  SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND  EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT  SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR  TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA,  LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED  BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES."", ""Without affecting Section 10 or the respective obligations of the parties under the Confidentiality Agreement and except  for any liability (i) relating to any breach associated with the unauthorized use of Intellectual Property, (ii) arising from the  intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or  regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this Agreement (or any  Purchase Order or other agreement entered into in connection with this Agreement) (a \""Claim\"") shall be limited to the aggregate  amount of the purchase prices paid by Distributor to Accuray for Products pursuant to this Agreement (or any Purchase Order or  other Agreement entered into in connection with this Agreement) during the twelve calendar months preceding the date of the  notification to the other party of such Claim less any amounts paid or payable in respect of any other Claim of which the other party  was notified during such twelve month period.""]"
accurayinc,non_compete,no,,[]
accurayinc,exclusivity,no,,[]
accurayinc,most_favored_nation,no,,[]
accurayinc,governing_law,yes,Germany,"[""This Agreement shall be governed by, and construed in accordance with, the laws of the Federal Republic of Germany excluding the United Nations Convention on Contracts of International Sale of Goods (CISG) and the provisions of German private  international law.""]"
accurayinc,renewal_term,no,,[]
adamsgolfinc,anti_assignment,yes,,"[""Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.""]"
adamsgolfinc,change_of_control,no,,[]
adamsgolfinc,termination_for_convenience,no,,[]
adamsgolfinc,cap_on_liability,no,,[]
adamsgolfinc,uncapped_liability,no,,[]
adamsgolfinc,non_compete,yes,,"[""When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.""]"
adamsgolfinc,exclusivity,yes,,"[""CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY."", ""During the term of this Agreement, unless otherwise authorized at the sole discretion of ADAMS GOLF in writing, CONSULTANT shall not:   A.give the right to use or permit the use of CONSULTANT'S name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of PRODUCT;\n\nB.sponsor or endorse PRODUCT made or sold by any other manufacturer or seller; or\n\nC.serve as a CONSULTANT or advisor of any other manufacturer or seller of PRODUCT."", ""During the term of this Agreement, CONSULTANT shall exclusively play/use the MANDATORY PRODUCT.""]"
adamsgolfinc,most_favored_nation,no,,[]
adamsgolfinc,governing_law,yes,Kansas,"[""This Agreement shall be governed and construed according to the laws of the State of Kansas.""]"
adamsgolfinc,renewal_term,no,,[]
